Quote,Detail,Episode Name
" Joseph Conrad said, ""The belief in a supernatural source of evil is not necessary. Men alone are quite capable of every wickedness.""
","Season 1, Episode 1",Extreme Aggressor
" Emerson said, ""All is riddle, and the key to a riddle is another riddle.""
","Season 1, Episode 1",Extreme Aggressor
" Winston Churchill said, ""The farther backward you can look, the farther forward you will see.""
","Season 14, Episode 1",Extreme Aggressor
" Nietzsche once said, ""When you look long into an abyss, the abyss looks into you.""
","Season 1, Episode 1",Extreme Aggressor
" Einstein once said, ""Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.""
","Season 1, Episode 2",Compulsion
" Faulkner once said, ""Don't bother just to be better than your contemporaries or predecessors. Try to be better than yourself.""
","Season 1, Episode 2",Compulsion
" Samuel Johnson wrote, ""Almost all absurdity of conduct arises from the imitation of those whom we cannot resemble.""
","Season 1, Episode 3",Won't Get Fooled Again
" French poet Jacques Rigaut said, ""Don't forget that I cannot see myself, that my role is limited to being the one who looks in the mirror.""
","Season 1, Episode 4",Plain Sight
" Rose Kennedy once said, ""Birds sing after a storm. Why shouldn't people feel as free to delight in whatever sunlight remains to them?""
","Season 1, Episode 4",Plain Sight
" Euripedes said, ""When a good man is hurt, all who would be called good must suffer with him.""
","Season 1, Episode 5",Broken Mirror
" Euripedes said, ""When love is in excess, it brings a man no honor nor worthiness.""
","Season 1, Episode 5",Broken Mirror
" Nietzsche wrote, ""The irrationality of a thing is not an argument against its existence, rather, a condition of it.""
","Season 1, Episode 6",L.D.S.K.
" Shakespeare wrote, ""Nothing is so common as the wish to be remarkable.""
","Season 1, Episode 6",L.D.S.K.
" Doctor Thomas Fuller wrote, ""With foxes, we must play the fox.""
","Season 1, Episode 7",The Fox
" Hemingway wrote, ""There is no hunting like the hunting of man, and those who have hunted armed men long enough and liked it, never really care for anything else.""
","Season 1, Episode 8",Natural Born Killer
" Carl Jung said, ""The healthy man does not torture others. Generally, it is the tortured who turn into torturers.""
","Season 1, Episode 8",Natural Born Killer
" Robert Oxton Bolt wrote, ""A belief is not merely an idea the mind possesses; it is an idea that possesses the mind.""
","Season 1, Episode 9",Derailed
" Albert Einstein asked, ""The question that sometimes drives me hazy: am I or the others crazy?""
","Season 1, Episode 9",Derailed
" Sir Peter Ustinov said, ""Unfortunately, a super abundance of dreams is paid for by a growing potential for nightmares.""
","Season 1, Episode 10",The Popular Kids
" Playwright Eugene Ionesco said, ""Ideologies separate us. Dreams and anguish bring us together.""
","Season 1, Episode 10",The Popular Kids
" Harriet Beecher Stowe once said, ""The bitterest tears shed over graves are for words left unsaid and deeds left undone.""
","Season 1, Episode 11",Blood Hungry
" The poet W.H. Auden wrote, ""Evil is always unspectacular and always human, and shares our bed, and eats at our table.""
","Season 1, Episode 12",What Fresh Hell?
" ""Measure not the work until the day's out and the labor done."" - Elizabeth Barrett Browning
","Season 1, Episode 12",What Fresh Hell?
" Roman philosopher Lucretius said, ""What is food to one, is to others bitter poison.""
","Season 1, Episode 13",Poison
" Confucius warned us, ""Before you embark on a journey of revenge, dig two graves.""
","Season 1, Episode 13",Poison
" ""Whoso sheddeth man's blood, by man shall his blood be shed."" - Genesis 9:6
","Season 1, Episode 14",Riding the Lightning
" Albert Pine said, ""What we do for ourselves dies with us. What we do for others and the world remains and is immortal.""
","Season 1, Episode 14",Riding the Lightning
" Norman Maclean wrote, ""It is those we live with and love and should know who elude us.""
","Season 1, Episode 15",Unfinished Business
" Abraham Lincoln once said, ""In the end, it's not the years in your life that count. It's the life in your years.""
","Season 1, Episode 15",Unfinished Business
" Nietzsche wrote, ""The individual has always had to struggle to keep from being overwhelmed by the tribe.""
","Season 1, Episode 16",The Tribe
" There's an old Apache saying: ""You can take many paths to get to the same place.""
","Season 1, Episode 16",The Tribe
" W.H. Auden said, ""Murder is unique in that it abolishes the party it injures, so that society must take the place of the victim and on his behalf demand atonement or grant forgiveness.""
","Season 1, Episode 17",A Real Rain
" Gandhi said, ""It is better to be violent, if there is violence in our hearts, than to put on the cloak of nonviolence to cover impotence.""
","Season 1, Episode 17",A Real Rain
" Gandhi also said, ""I object to violence because when it appears to do good, the good is only temporary; the evil it does is permanent.""
","Season 1, Episode 17",A Real Rain
" Diane Arbus once said, ""A photograph is a secret about a secret. The more it tells you, the less you know.""
","Season 1, Episode 18",Somebody's Watching
" Bernard Shaw once said, ""An American has no sense of privacy. He does not know what it means. There is no such thing in the country.""
","Season 1, Episode 18",Somebody's Watching
" Anthony Brandt wrote, ""Other things may change us, but we start and end with family.""
","Season 1, Episode 19",Machismo
" Mexican proverb: ""The house does not rest upon the ground, but upon a woman.""
","Season 1, Episode 19",Machismo
