Author,Text
"
    Dr. Seuss
  ","
      “Don't cry because it's over, smile because it happened.”
  "
"
    Marilyn Monroe
  ","
      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”
  "
"
    Oscar Wilde
  ","
      “Be yourself; everyone else is already taken.”
  "
"
    Albert Einstein
  ","
      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
  "
"
    Frank Zappa
  ","
      “So many books, so little time.”
  "
"
    Bernard M. Baruch
  ","
      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”
  "
"
    Marcus Tullius Cicero
  ","
      “A room without books is like a body without a soul.”
  "
"
    William W. Purkey
  ","
      “You've gotta dance like there's nobody watching,"
"
    Dr. Seuss
  ","
      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”
  "
"
    Mae West
  ","
      “You only live once, but if you do it right, once is enough.”
  "
"
    Mahatma Gandhi
  ","
      “Be the change that you wish to see in the world.”
  "
"
    Robert Frost
  ","
      “In three words I can sum up everything I've learned about life: it goes on.”
  "
"
    J.K. Rowling,
  ","
      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”
  "
"
    Albert Camus
  ","
      “Don’t walk in front of me… I may not follow"
"
    Eleanor Roosevelt,
  ","
      “No one can make you feel inferior without your consent.”
  "
"
    C.S. Lewis,
  ","
      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”
  "
"
    Mark Twain
  ","
      “If you tell the truth, you don't have to remember anything.”
  "
"
    Elbert Hubbard
  ","
      “A friend is someone who knows all about you and still loves you.”
  "
"
    Maya Angelou
  ","
      “I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”
  "
"
    Oscar Wilde
  ","
      “Always forgive your enemies; nothing annoys them so much.”
  "
"
    Oscar Wilde
  ","
      “To live is the rarest thing in the world. Most people exist, that is all.”
  "
"
    Mahatma Gandhi
  ","
      “Live as if you were to die tomorrow. Learn as if you were to live forever.”
  "
"
    Martin Luther King Jr.,
  ","
      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”
  "
"
    Oscar Wilde,
  ","
      “I am so clever that sometimes I don't understand a single word of what I am saying.”
  "
"
    Friedrich Nietzsche,
  ","
      “Without music, life would be a mistake.”
  "
"
    Ralph Waldo Emerson
  ","
      “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”
  "
"
    Rob Siltanen
  ","
      “Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”
  "
"
    Stephen Chbosky,
  ","
      “We accept the love we think we deserve.”
  "
"
    Narcotics Anonymous
  ","
      “Insanity is doing the same thing, over and over again, but expecting different results.”
  "
"
    Marilyn Monroe
  ","
      “I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”
  "
"
    H. Jackson Brown Jr.,
  ","
      “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”
  "
"
    Andre Gide,
  ","
      “It is better to be hated for what you are than to be loved for what you are not.”
  "
"
    Bob Marley
  ","
      “Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”
  "
"
    J.R.R. Tolkien,
  ","
      “All that is gold does not glitter,"
"
    J.K. Rowling,
  ","
      “It is our choices, Harry, that show what we truly are, far more than our abilities.”
  "
"
    Marilyn Monroe
  ","
      “Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”
  "
"
    Jane Austen,
  ","
      “The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”
  "
"
    J.K. Rowling,
  ","
      “It does not do to dwell on dreams and forget to live.”
  "
"
    Albert Einstein
  ","
      “There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
  "
"
    John Green,
  ","
      “As he read, I fell in love the way you fall asleep: slowly, and then all at once.”
  "
"
    Mark Twain
  ","
      “Good friends, good books, and a sleepy conscience: this is the ideal life.”
  "
"
    Maurice Switzer
  ","
      “It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”
  "
"
    William Shakespeare,
  ","
      “The fool doth think he is wise, but the wise man knows himself to be a fool.”
  "
"
    Allen Saunders
  ","
      “Life is what happens to us while we are making other plans.”
  "
"
    Oscar Wilde,
  ","
      “We are all in the gutter, but some of us are looking at the stars.”
  "
"
    Mark Twain
  ","
      “Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”
  "
